Thing,tabooness,popularity,genderratio,std,male,female
pony play,66.57,4.184954063,-1.306060498,23.86,4.740381435,3.62952669
monkeys/apes,89.99,0.8455702926,-1.298635864,14.37,0.9554257157,0.7357148696
hermaphrodites,56.23,7.777673531,-1.259959152,25.63,8.672325727,6.883021336
castration,83.44,2.110064022,-1.25435923,18.32,2.348142432,1.871985613
enthusiastic consent,7.96,72.09934544,-1.244538218,16.48,79.95443354,64.24425734
hypnotism,46.89,21.7883848,-1.243580061,24.32,24.15389703,19.42287256
dogs,90.25,9.936823812,-1.226321716,15.68,10.94697387,8.926673751
anal sex,20.93,78.40694025,-1.216155499,19.78,86.05445927,70.75942124
voyeurism (self),41.93,45.74695002,-1.215887704,25.09,50.20394664,41.2899534
sexual cartoons,34.83,12.1770434,-1.211756079,23.74,13.34288759,11.01119922
strip teases,8.63,47.06562949,-1.210187507,12.73,51.54154265,42.58971634
exhibitionism (other),33.27,50.30141188,-1.20195803,24.10,54.91493036,45.6878934
facesitting,17.44,58.31112682,-1.192132804,18.14,63.42189395,53.20035968
transforming (animals),70.15,5.47978649,-1.19066105,23.55,5.956711866,5.002861113
breeding/impregnation,28.04,21.69367341,-1.186886748,23.57,23.54756918,19.83977765
grandparent/grandchild incest,89.87,2.69547758,-1.176486946,15.56,2.914048433,2.476906728
squirting,20.50,50.68352299,-1.168630769,19.26,54.62462794,46.74241805
doctors,29.30,18.05895893,-1.162655355,21.96,19.41719031,16.70072754
thighs,12.14,32.44555384,-1.155928627,15.47,34.79219491,30.09891278
sploshing,51.22,1.585399052,-1.131229297,24.88,1.683019145,1.487778959
eager service,23.95,36.35858505,-1.130656627,20.63,38.58817477,34.12899534
cats,89.77,1.523715489,-1.130241324,15.00,1.616874288,1.430556691
vomit,81.65,1.514528704,-1.117397672,18.92,1.598500717,1.430556691
multiple partners,26.97,53.69550122,-1.109706332,19.05,56.48770808,50.90329437
facefucking,32.58,62.39626145,-1.108545487,23.11,65.60834895,59.18417396
ASMR,30.55,10.2853727,-1.093526859,22.76,10.74486459,9.825880814
exhibitionism (self),47.17,50.84006378,-1.091915574,26.52,53.0738985,48.60622905
crushing (live creatures),91.77,0.5463778667,-1.088700139,13.14,0.5695807151,0.5231750184
blowjobs,5.95,91.21391328,-1.076716548,11.31,94.58347114,87.84435543
voyeurism (other),40.45,44.62262728,-1.070036403,25.68,46.13236321,43.11289136
causing mild pain,38.04,12.11863398,-1.063288093,22.77,12.49035387,11.74691408
severe obesity,74.45,0.8733948459,-1.054661375,22.54,0.896630287,0.8501594049
dirtiness,74.52,4.2052096,-1.049495181,20.88,4.306765149,4.103654051
slugs/snails/worms,88.68,0.6028486171,-1.048824086,15.95,0.6172146785,0.5884825557
eager begging (other),31.41,70.12237664,-1.045075774,22.78,71.66795282,68.57680046
toothlessness,67.63,0.3672518414,-1.042087171,23.60,0.3748208577,0.3596828251
catching diseases,84.11,0.5915252149,-1.038345902,17.20,0.6026531437,0.580397286
urine,62.03,15.23221582,-1.029800612,23.94,15.45584831,15.00858334
inflatables,58.78,1.272519945,-1.021654089,25.92,1.286150002,1.258889888
missionary (position),2.34,73.05313116,-1.01797212,6.11,73.70374453,72.40251778
doggystyle (position),6.59,78.27314091,-1.017095708,11.73,78.93653768,77.60974413
statues/mannequins,59.94,1.876719665,-1.005057787,24.47,1.881453717,1.871985613
diapers,75.80,2.484594099,1.000392285,20.90,2.484106861,2.485081337
heroin,72.42,0.9038433369,1.007860304,22.56,0.9003050013,0.9073816725
father-daughter incest,79.11,10.69946686,1.009417472,23.59,10.64932202,10.74961171
pumps (toy),51.11,11.64845755,1.011354538,24.00,11.58269945,11.71421565
cunnilingus,7.03,92.33534023,1.013479397,13.08,91.71719399,92.95348647
tongues,26.25,25.70677713,1.014277357,21.21,25.52456547,25.8889888
receiving sexual worship,24.70,69.41407718,1.015326238,22.76,68.8861941,69.94196027
hair (head),26.28,22.83479747,1.031725824,23.08,22.47822732,23.19136761
noses,34.00,9.245235553,1.047116315,24.98,9.032447727,9.458023379
pegging,49.94,35.74108211,1.047194417,26.41,34.91713519,36.56502902
old people,49.45,17.33134492,1.059104516,25.13,16.83386617,17.82882367
parasites/leeches,88.38,1.226998607,1.067511646,15.25,1.186932716,1.267064498
lips,12.65,33.36962358,1.072549507,15.91,32.20152133,34.53772582
fingering vaginas,6.22,80.46118199,1.074654297,11.50,77.56586925,83.35649473
vore (hard),89.04,0.9383791327,1.076106613,15.17,0.9039797156,0.9727785498
gross insects,88.53,0.3936130275,1.079881809,15.28,0.378495572,0.4087304831
double penetration,38.00,36.12889228,1.084102905,24.45,34.67092934,37.58685523
giving sexual worship,33.76,66.96544109,1.089828611,24.41,64.08701723,69.84386496
amputations,75.94,2.114118734,1.092055023,21.75,2.02109286,2.207144609
oversized body parts,44.71,5.324932113,1.098586207,25.35,5.074780436,5.57508379
bears/lions,87.61,1.643298106,1.104426888,16.98,1.561753574,1.724842639
executions,92.18,2.310831751,1.106688926,13.55,2.193804432,2.42785907
saliva,34.81,14.54437347,1.107540124,22.97,13.80222688,15.28652007
women with penis and vagina,57.30,6.718646436,1.116140341,26.71,6.349906295,7.087386577
angels/demons,48.25,13.8571487,1.13186903,27.68,13,14.71429739
cuddling,9.55,46.97459117,1.157137276,16.33,43.55271378,50.39646857
women with a penis,52.30,8.665978261,1.158601981,28.26,8.029250726,9.302705796
buildings,65.92,1.10160713,1.164479049,28.65,1.017895859,1.185318401
humans with animal body parts,60.69,5.62345376,1.170653151,27.02,5.18134715,6.065560369
dolls,63.01,1.733405807,1.173786739,24.05,1.594826002,1.871985613
CGL,62.88,22.281204,1.176766844,24.91,20.47183331,24.09057468
receiving penetration from animal,88.99,9.909590283,1.177389426,16.62,9.102267299,10.71691327
tickling,31.39,8.915639245,1.182827627,23.68,8.168889869,9.662388621
extreme plastic surgery,65.86,0.3693147941,1.18481815,24.53,0.3380737148,0.4005558735
orcs/ogres/golems,66.72,6.704475971,1.200831177,25.00,6.092676294,7.316275648
airplanes/cars,66.00,2.504733834,1.205868021,28.25,2.270973432,2.738494237
romance,8.15,45.35954223,1.206003436,17.73,41.12372763,49.59535682
living insertions,88.71,2.001214767,1.209292392,15.82,1.811634145,2.19079539
full time power dynamics,49.50,40.25475758,1.214825552,24.93,36.35027377,44.1592414
light spanking,13.41,65.1444572,1.215416288,15.85,58.81012751,71.47878689
damaging impalement,82.10,2.275960566,1.219918096,18.76,2.050490574,2.501430557
excessive body hair,44.93,1.746905494,1.221427065,25.40,1.572777717,1.921033271
octopi/squid,81.55,1.515882277,1.235864737,20.22,1.355969573,1.675794981
receiving oral sex from animal,89.13,22.933935,1.23812506,15.21,20.4938816,25.37398839
used condoms,62.53,3.909923492,1.242376143,25.79,3.487303862,4.332543121
aliens,59.12,10.74928052,1.244113317,26.28,9.579980157,11.91858089
food,53.99,2.841801381,1.24807968,26.89,2.528203432,3.15539933
necks,23.60,27.47164706,1.25074795,21.34,24.41112703,30.53216709
electricity (painful),59.29,12.34938444,1.267636969,23.58,10.89185316,13.80691572
gags,33.68,39.81604782,1.27104194,21.90,35.06412376,44.56797188
hair pulling,17.05,68.18202205,1.279687144,17.93,59.81699923,76.54704488
oviposition,73.19,7.082081177,1.280765385,22.71,6.210267152,7.953895202
pain (giving),56.16,33.28335446,1.315286106,26.04,28.75096461,37.8157443
wings,57.99,7.393238728,1.316548135,26.84,6.382978723,8.403498733
androgyny,38.42,12.43203292,1.317211725,24.60,10.73016573,14.13390011
sexual frustration?,44.39,63.33275787,1.322741698,22.10,54.53276008,72.13275566
sleeping sex,54.91,16.73429907,1.341941274,24.91,14.29096388,19.17763427
begging (self),35.02,60.91836334,1.349615791,25.18,51.85389336,69.98283332
zombies,74.24,2.727060057,1.355920169,23.32,2.315070003,3.13905011
blindfolds,20.55,55.06554273,1.392812159,18.18,46.02579649,64.10528897
drunkenness,47.80,15.98438715,1.402558009,26.95,13.30614045,18.66263386
infibulation,86.72,1.558631283,1.423716178,16.47,1.286150002,1.831112564
horns/fangs,56.58,9.3,1.447368421,27.35,7.6,11
deformations,69.00,0.7738035701,1.448548436,22.56,0.632050858,0.9155562822
penile implants,56.18,1.243238032,1.469506319,25.00,1.006871716,1.479604349
dragons,65.58,9.246271761,1.482671864,26.70,7.448645868,11.04389765
unused condoms,40.97,4.418361052,1.502327977,27.28,3.531400434,5.305321671
father-son incest,87.89,3.452982547,1.585034775,16.33,2.67151729,4.234447805
sensory deprivation,41.25,14.07794039,1.600834976,24.65,10.8257083,17.33017248
brother-brother incest,83.42,4.155316184,1.602499869,19.28,3.193326719,5.117305649
stuffing,52.81,5.44782747,1.619288497,24.98,4.159776577,6.735878362
choking,39.17,42.6196842,1.659808431,24.99,32.04718333,53.19218507
menstrual blood,65.80,3.476719796,1.66137766,23.18,2.612721861,4.340717731
struggling,47.64,44.15293388,1.674235009,23.54,33.02098262,55.28488515
ghosts,56.28,7.41106333,1.685449619,27.16,5.519420865,9.302705796
non-gratifying pain (giving),70.10,5.275489888,1.718975498,22.41,3.880498291,6.670481485
gynecologists,46.57,6.053006773,1.722652451,23.57,4.446404292,7.659609254
shoulders,23.82,21.78434646,1.741986217,22.57,15.88946459,27.67922832
slut humiliation,42.77,25.53510267,1.755300353,23.76,18.53525888,32.53494646
mental disabilities,82.98,1.449215035,1.757866347,17.78,1.050968287,1.847461784
teeth,44.91,11.17637001,1.76367612,26.87,8.088046154,14.26469386
kidnapping,59.47,25.20257362,1.769941987,24.60,18.19718517,32.20796207
defilement,53.60,16.75814356,1.773962048,23.97,12.08246059,21.43382653
body horror,83.12,2.39629717,1.774912123,18.09,1.727115717,3.065478623
ugliness,46.99,1.607343552,1.803887184,25.92,1.146510859,2.068176245
insults,43.91,19.33270898,1.823945301,23.55,13.69198545,24.97343252
bad ends,70.22,7.927037315,1.825389213,22.30,5.611288722,10.24278591
age gap (as younger),50.99,18.52864392,1.831106047,26.11,13.0893323,23.96795553
women without breasts,40.23,3.508070669,1.858237339,27.02,2.454709146,4.561432192
vampires,39.19,17.79916852,1.94091544,27.32,12.10450887,23.49382817
destructive pregnancies,84.18,0.4704852388,1.94329076,17.63,0.3197001433,0.6212703343
scary people/creatures,46.60,5.386188516,1.976128895,25.37,3.619593577,7.152783455
extreme pain,67.20,6.061000395,2.02084256,24.18,4.012788006,8.109212785
pain (receiving),48.08,37.15447221,2.044060371,25.77,24.41112703,49.89781738
branding,76.15,6.948126531,2.125278798,20.10,4.446404292,9.44984877
public humiliation (receiving),54.03,9.16865,2.161603448,24.34,5.8,12.5373
hands,26.60,25.13834077,2.224556527,21.51,15.59181274,34.6848688
rotting dead bodies,96.12,0.1718151973,2.224556527,7.35,0.1065667144,0.2370636802
men with breasts,56.83,3.517411857,2.228307888,27.76,2.179105575,4.855718139
sexual obedience training (as trainee),47.26,41.27408346,2.231276275,23.90,25.54661375,57.00155318
creepy people/creatures,60.72,3.631218206,2.261265381,24.17,2.22687686,5.035559552
plushies,59.79,3.272063773,2.273627627,23.95,1.999044574,4.545082972
non-gratifying pain (receiving),62.77,4.614112509,2.282714868,23.98,2.811156433,6.417068585
jawlines,17.56,21.06071597,2.30999286,18.95,12.72553559,29.39589635
men with vaginas,58.63,4.638674938,2.388785533,28.31,2.737662147,6.53968773
werewolves,58.89,12.57255131,2.402653793,27.88,7.389850439,17.75525219
sexual partners fighting over you,32.39,14.34631379,2.411151046,22.75,8.411421012,20.28120657
cannibalism/meatslaves,93.05,2.21158788,2.488924115,11.73,1.26777643,3.15539933
men with penis and vagina,61.12,4.102908624,2.734195732,25.97,2.197479146,6.008338102
being submissive,19.52,41.1472175,2.885285323,18.85,21.18105317,61.11338184
woundfucking,87.32,2.973735129,2.899964051,16.06,1.525006431,4.422463827
